ticker,security,sector,cik
CARS,Cars.com Inc,Information Technology,0001683606
CASH,"Meta Financial Group, Inc.",Financials,0000907471
CASY,Casey's General Stores,Consumer Staples,0000726958
CATM,Cardtronics plc,Information Technology,0001671013
CATO,The Cato Corporation,Consumer Discretionary,0000018255
CATY,Cathay General Bancorp,Financials,0000861842
CBB,Cincinnati Bell Inc.,Telecommunication Services,0000716133
CBL,"CBL & Associates Properties, Inc",Real Estate,0000910612
CBM,Cambrex Corporation,Health Care,0000820081
CBRL,Cracker Barrel,Consumer Discretionary,0001067294
CBSH,Commerce Bancshares,Financials,0000022356
CBT,Cabot Corp,Materials,0000016040
CBU,"Community Bank System, Inc.",Financials,0000723188
CC,Chemours,Materials,0001627223
CCMP,Cabot Microelectronics Corporation,Information Technology,0001102934
CCOI,"Cogent Communications Holdings, Inc.",Telecommunication Services,0001158324
CCRN,"Cross Country Healthcare, Inc.",Health Care,0001141103
CDK,CDK Global Inc,Information Technology,0001609702
CDR,"Cedar Realty Trust, Inc.",Real Estate,0000761648
CECO,Career Education Corporation,Consumer Discretionary,0001046568
CEIX,CONSOL Energy Inc.,Energy,0001710366
CENT,Central Garden & Pet Company,Consumer Staples,0000887733
CENTA,Central Garden & Pet Company,Consumer Staples,0000887733
CENX,Century Aluminum Company,Materials,0000949157
CEVA,"CEVA, Inc.",Information Technology,0001173489
CFR,Cullen/Frost Bankers Inc,Financials,0000039263
CGNX,Cognex Corporation,Information Technology,0000851205
CHCO,City Holding Company,Financials,0000726854
CHCT,Community Healthcare Trust Incorporated,Health Care,0001631569
CHDN,Churchill Downs Inc,Consumer Discretionary,0000020212
CHE,Chemed Corp.,Health Care,0000019584
CHK,Chesapeake Energy,Energy,0000895126
CHS,"Chico's FAS, Inc.",Consumer Discretionary,0000897429
CHSP,Chesapeake Lodging Trust,Real Estate,0001473078
CHUY,"Chuy's Holdings, Inc.",Consumer Discretionary,0001524931
CIEN,Ciena Corp,Information Technology,0000936395
CIR,"CIRCOR International, Inc.",Industrials,0001091883
CJ,"C&J Energy Services, Inc.",Energy,0001615817
CKH,SEACOR Holdings Inc.,Energy,0000859598
CLB,Core Laboratories,Energy,0001000229
CLD,Cloud Peak Energy Inc.,Energy,0001441849
CLDT,Chatham Lodging Trust,Real Estate,0001476045
CLGX,CoreLogic,Information Technology,0000036047
CLH,Clean Harbors Inc,Industrials,0000822818
CLI,Mack-Cali Realty Corporation,Real Estate,0000924901
CLW,Clearwater Paper Corporation,Materials,0001441236
CMC,Commercial Metals Company,Materials,0000022444
CMD,Cantel Medical Corporation,Health Care,0000019446
CMO,Capstead Mortgage Corporation,Real Estate,0000766701
CMP,Compass Minerals International Inc.,Materials,0001227654
CMTL,Comtech Telecommunications Corp.,Information Technology,0000023197
CNK,Cinemark Holdings Inc,Consumer Discretionary,0001385280
CNMD,CONMED Corporation,Health Care,0000816956
CNO,CNO Financial Group,Financials,0001224608
CNSL,"Consolidated Communications Holdings, Inc.",Telecommunication Services,0001304421
CNX,CNX Resources Corp,Energy,0001070412
COHR,"Coherent, Inc.",Information Technology,0000021510
COHU,"Cohu, Inc.",Information Technology,0000021535
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Staples,0000317540
COLB,"Columbia Banking System, Inc.",Financials,0000887343
CONE,CyrusOne,Real Estate,0001553023
COR,CoreSite Realty,Real Estate,0001490892
CORE,"Core-Mark Holding Company, Inc.",Consumer Discretionary,0001318084
CORT,Corcept Therapeutics Incorporated,Health Care,0001088856
CPE,Callon Petroleum,Energy,0000928022
CPF,Central Pacific Financial Corp.,Financials,0000701347
CPS,Cooper-Standard Holdings Inc.,Consumer Discretionary,0001320461
CPSI,"Computer Programs and Systems, Inc.",Health Care,0001169445
CPT,Camden Property Trust,Real Estate,0000906345
CR,Crane Co.,Industrials,0000025445
CRAY,Cray Inc.,Information Technology,0000949158
CREE,Cree Inc,Information Technology,0000895419
CRI,"Carter's, Inc.",Consumer Discretionary,0001060822
CRL,Charles River Laboratories,Health Care,0001100682
CROX,"Crocs, Inc.",Consumer Discretionary,0001334036
CRR,CARBO Ceramics Inc.,Energy,0001009672
CRS,Carpenter Technology,Materials,0000017843
CRUS,Cirrus Logic Inc,Information Technology,0000772406
CRVL,CorVel Corporation,Health Care,0000874866
CRY,"CryoLife, Inc.",Health Care,0000784199
CRZO,"Carrizo Oil & Gas, Inc.",Energy,0001040593
CSGS,"CSG Systems International, Inc.",Information Technology,0001005757
CSL,Carlisle Companies Inc.,Industrials,0000790051
CTB,Cooper Tire & Rubber Company,Consumer Discretionary,0000024491
CTLT,Catalent Inc,Health Care,0001596783
CTRE,"CareTrust REIT, Inc.",Real Estate,0001590717
CTRL,Control4 Corporation,Information Technology,0001259515
CTS,CTS Corporation,Information Technology,0000026058
CUB,Cubic Corporation,Industrials,0000026076
CUBI,"Customers Bancorp, Inc.",Financials,0001488813
CUTR,"Cutera, Inc.",Health Care,0001162461
CUZ,Cousins Properties Inc,Real Estate,0000025232
CVBF,CVB Financial Corp.,Financials,0000354647
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,0000278166
CVG,Convergys Corp,Information Technology,0001062047
CVGW,"Calavo Growers, Inc.",Consumer Staples,0001133470
CVLT,CommVault Systems,Information Technology,0001169561
CW,Curtiss-Wright Corp,Industrials,0000026324
CWT,California Water Service Group,Utilities,0001035201
CXW,CoreCivic,Real Estate,0001070985
CY,Cypress Semiconductor Corp,Information Technology,0000791915
CYH,"Community Health Systems, Inc.",Health Care,0001108109
CYTK,"Cytokinetics, Incorporated",Health Care,0001061983
DAKT,"Daktronics, Inc.",Information Technology,0000915779
DAN,Dana Incorporated,Consumer Discretionary,0000026780
DAR,Darling Ingredients Inc.,Consumer Staples,0000916540
DBD,"Diebold Nixdorf, Incorporated",Information Technology,0000028823
DCI,Donaldson Co,Industrials,0000029644
DCOM,"Dime Community Bancshares, Inc.",Financials,0001005409
DDD,3D Systems Corporation,Information Technology,0000910638
DDS,Dillard's Inc,Consumer Discretionary,0000028917
DEA,"Easterly Government Properties, Inc.",Real Estate,0001622194
DECK,Deckers Outdoor Corporation,Consumer Discretionary,0000910521
DEI,"Douglas Emmett, Inc.",Real Estate,0001364250
DF,Dean Foods Company,Consumer Staples,0000931336
DFIN,"Donnelley Financial Solutions, Inc.",Financials,0001669811
DGII,Digi International Inc.,Information Technology,0000854775
DIN,"Dine Brands Global, Inc.",Consumer Discretionary,0000049754
DIOD,Diodes Incorporated,Information Technology,0000029002
DKS,Dick's Sporting Goods Inc,Consumer Discretionary,0001089063
DLPH,Delphi Technologies PLC,Consumer Discretionary,0001707092
DLX,Deluxe Corporation,Industrials,0000027996
DNB,Dun & Bradstreet Corp,Industrials,0001115222
DNKN,Dunkin' Brands Group Inc,Consumer Discretionary,0001357204
DNOW,NOW Inc,Industrials,0001599617
DNR,Denbury Resources Inc.,Energy,0000945764
DO,Diamond Offshore Drilling,Energy,0000949039
DORM,"Dorman Products, Inc.",Consumer Discretionary,0000868780
DPLO,"Diplomat Pharmacy, Inc.",Health Care,0001610092
DPZ,Domino's Pizza Inc,Consumer Discretionary,0001286681
DRH,DiamondRock Hospitality Company,Real Estate,0001298946
DRQ,Dril-Quip,Energy,0001042893
DSPG,"DSP Group, Inc.",Information Technology,0000915778
DSW,DSW Inc.,Consumer Discretionary,0001319947
DXPE,"DXP Enterprises, Inc.",Industrials,0001020710
DY,Dycom Industries Inc,Industrials,0000067215
EAT,Brinker International Inc,Consumer Discretionary,0000703351
EBIX,"Ebix, Inc.",Information Technology,0000814549
EBS,Emergent BioSolutions Inc.,Health Care,0001367644
ECHO,"Echo Global Logistics, Inc.",Industrials,0001426945
ECOL,"US Ecology, Inc.",Industrials,0000742126
ECPG,"Encore Capital Group, Inc.",Financials,0001084961
EDR,Education Realty Trust Inc.,Real Estate,0001302343
EE,El Paso Electric Company,Utilities,0000031978
EFII,"Electronics for Imaging, Inc.",Information Technology,0000867374
EGHT,"8x8, Inc.",Information Technology,0001023731
EGL,"Engility Holdings, Inc.",Industrials,0001544229
EGN,Energen,Energy,0000277595
EGOV,NIC Inc.,Information Technology,0001065332
EGP,"EastGroup Properties, Inc.",Real Estate,0000049600
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,0000827871
EHC,Encompass Health Corp.,Health Care,0000785161
EHTH,"eHealth, Inc.",Financials,0001333493
EIG,"Employers Holdings, Inc.",Financials,0001379041
ELY,Callaway Golf Company,Consumer Discretionary,0000837465
EME,Emcor,Industrials,0000105634
ENDP,Endo International plc,Health Care,0001593034
ENR,Energizer Holdings Inc,Consumer Staples,0001632790
ENS,EnerSys,Industrials,0001289308
ENSG,"The Ensign Group, Inc.",Health Care,0001125376
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,0001177648
ENVA,"Enova International, Inc.",Financials,0001529864
EPAY,"Bottomline Technologies (de), Inc.",Information Technology,0001073349
EPC,Edgewell Personal Care Company,Consumer Staples,0001096752
EPR,EPR Properties,Real Estate,0001045450
ERA,Era Group Inc.,Energy,0001525221
ERI,"Eldorado Resorts, Inc.",Consumer Discretionary,0001590895
ESE,ESCO Technologies Inc.,Industrials,0000866706
ESIO,"Electro Scientific Industries, Inc.",Information Technology,0000726514
ESL,Esterline Technologies,Industrials,0000033619
ESND,Essendant Inc.,Industrials,0000355999
ETH,Ethan Allen Interiors Inc.,Consumer Discretionary,0000896156
EV,Eaton Vance Corp,Financials,0000350797
EVR,Evercore,Financials,0001360901
EVTC,"EVERTEC, Inc.",Information Technology,0001559865
EWBC,East West Bancorp Inc,Financials,0001069157
EXEL,Exelixis,Health Care,0000939767
EXLS,"ExlService Holdings, Inc.",Information Technology,0001297989
EXP,Eagle Materials Inc,Materials,0000918646
EXPO,"Exponent, Inc.",Industrials,0000851520
EXPR,"Express, Inc.",Consumer Discretionary,0001483510
EXTN,Exterran Corporation,Energy,0001635881
EXTR,"Extreme Networks, Inc.",Information Technology,0001078271
EZPW,"EZCORP, Inc.",Financials,0000876523
FAF,First American Financial Corp,Financials,0001472787
FARO,"FARO Technologies, Inc.",Information Technology,0000917491
FBP,First BanCorp,Financials,0001057706
FCF,First Commonwealth Financial Corporation,Financials,0000712537
FCFS,"FirstCash, Inc.",Financials,0000840489
FCN,"FTI Consulting, Inc.",Industrials,0000887936
FCPT,"Four Corners Property Trust, Inc.",Real Estate,0001650132
FDS,FactSet Research Systems Inc,Financials,0001013237
FELE,"Franklin Electric Co., Inc.",Industrials,0000038725
FF,FutureFuel Corp.,Materials,0001337298
FFBC,First Financial Bancorp.,Financials,0000708955
FFIN,"First Financial Bankshares, Inc.",Financials,0000036029
FHN,First Horizon National Corp,Financials,0000036966
FICO,Fair Isaac Corporation,Information Technology,0000814547
FII,Federated Investors,Financials,0001056288
FIVE,Five Below,Consumer Discretionary,0001177609
FIX,"Comfort Systems USA, Inc.",Industrials,0001035983
FLO,Flowers Foods Inc.,Consumer Staples,0001128928
FLOW,"SPX FLOW, Inc.",Industrials,0001641991
FMBI,"First Midwest Bancorp, Inc.",Financials,0000702325
FN,Fabrinet,Information Technology,0001408710
FR,First Industrial Realty Trust,Real Estate,0000921825
FNB,FNB Corporation,Financials,0000037808
FNSR,Finisar Corporation,Information Technology,0001094739
FORM,"FormFactor, Inc.",Information Technology,0001039399
FORR,"Forrester Research, Inc.",Industrials,0001023313
FOSL,"Fossil Group, Inc.",Consumer Discretionary,0000883569
FOXF,Fox Factory Holding Corp.,Consumer Discretionary,0001424929
FR,"First Industrial Realty Trust, Inc.",Real Estate,0000921825
FRAN,Francesca's Holdings Corporation,Consumer Discretionary,0001399935
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Discretionary,0001534992
FSB,"Franklin Financial Network, Inc.",Financials,0001407067
FSLR,First Solar,Information Technology,0001274494
FSP,Franklin Street Properties Corp.,Real Estate,0001031316
FSS,Federal Signal Corporation,Industrials,0000277509
FTD,"FTD Companies, Inc.",Consumer Discretionary,0001283157
FTK,"Flotek Industries, Inc.",Materials,0000928054
FTNT,Fortinet,Information Technology,0001262039
FTR,Frontier Communications Corporation,Telecommunication Services,0000020520
FUL,H.B. Fuller Company,Materials,0000039368
FULT,Fulton Financial Corporation,Financials,0000700564
FWRD,Forward Air Corporation,Industrials,0000912728
GATX,GATX Corp.,Industrials,0000040211
GBCI,"Glacier Bancorp, Inc.",Financials,0000868671
GBX,"The Greenbrier Companies, Inc.",Industrials,0000923120
GCI,"Gannett Co., Inc.",Consumer Discretionary,0001635718
GCO,Genesco Inc.,Consumer Discretionary,0000018498
GDOT,Green Dot Corporation,Financials,0001386278
GEF,"Greif, Inc.",Materials,0000043920
GEO,GEO Group Inc.,Real Estate,0000923796
GEOS,Geospace Technologies Corporation,Energy,0001001115
GES,"Guess?, Inc.",Consumer Discretionary,0000912463
GFF,Griffon Corporation,Industrials,0000050725
GGG,Graco Inc.,Industrials,0000042888
GHC,Graham Holdings Company,Consumer Discretionary,0000104889
GHL,"Greenhill & Co., Inc.",Financials,0001282977
GIFI,"Gulf Island Fabrication, Inc.",Energy,0001031623
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,0000821002
GLT,P. H. Glatfelter Company,Materials,0000041719
GME,GameStop Corp.,Consumer Discretionary,0001326380
GMED,Globus Medical Inc.,Health Care,0001237831
GNBC,"Green Bancorp, Inc.",Financials,0001606363
GNL,"Global Net Lease, Inc.",Real Estate,0001526113
GNTX,Gentex Corp,Consumer Discretionary,0000355811
GNW,Genworth Financial,Financials,0001276520
GOV,Government Properties Income Trust,Real Estate,0001456772
GPI,"Group 1 Automotive, Inc.",Customer Discretionary,0001031203
GPOR,Gulfport Energy Corp,Energy,0000874499
GPRE,Green Plains Inc.,Energy,0001309402
GTLS,"Chart Industries, Inc.",Industrials,0000892553
GTY,Getty Realty Corp.,Real Estate,0001052752
GVA,Granite Construction Inc.,Industrials,0000861459
GWB,"Great Western Bancorp, Inc.",Financials,0001613665
GWR,Genesee & Wyoming,Industrials,0001012620
HA,"Hawaiian Holdings, Inc.",Industrials,0001172222
HAE,Haemonetics,Health Care,0000313143
HAFC,Hanmi Financial Corporation,Financials,0001109242
HAIN,Hain Celestial Group,Consumer Staples,0000910406
HAYN,"Haynes International, Inc.",Materials,0000858655
HBHC,Hancock Holding Company,Financials,0000750577
HCI,"HCI Group, Inc.",Financials,0001400810
HCSG,Healthcare Services Group,Industrials,0000731012
HE,Hawaiian Electric Industries,Utilities,0000354707
HELE,Helen of Troy Limited,Consumer Discretionary,0000916789
HFWA,Heritage Financial Corporation,Health Care,0001046025
HI,"Hillenbrand, Inc.",Industrials,0001417398
HIBB,"Hibbett Sports, Inc.",Consumer Discretionary,0001017480
HIW,Highwoods Properties,Real Estate,0000921082
HLIT,Harmonic Inc.,Information Technology,0000851310
HLX,"Helix Energy Solutions Group, Inc.",Energy,0000866829
HMN,Horace Mann Educators Corporation,Financials,0000850141
HMST,"HomeStreet, Inc.",Financials,0001518715
HMSY,HMS Holdings Corp.,Health Care,0001196501
HNI,HNI Corporation,Industrials,0000048287
HOMB,Home BancShares Inc,Financials,0001331520
HOPE,"Hope Bancorp, Inc.",Financials,0001128361
HPR,HighPoint Resources Corporation,Energy,0001725526
HPT,Hospitality Properties Trust,Real Estate,0000945394
HQY,"HealthEquity, Inc.",Health Care,0001428336
HR,Healthcare Realty Trust,Real Estate,0000899749
HRC,Hill-Rom Holdings Inc.,Health Care,0000047518
HSC,Harsco Corporation,Industrials,0000045876
HSII,"Heidrick & Struggles International, Inc.",Industrials,0001066605
HSKA,Heska Corporation,Health Care,0001038133
HSTM,"HealthStream, Inc.",Health Care,0001095565
HT,Hersha Hospitality Trust,Real Estate,0001063344
HTLD,"Heartland Express, Inc.",Industrials,0000799233
HUBB,Hubbell Incorporated,Industrials,0000048898
HUBG,"Hub Group, Inc.",Industrials,0000940942
HVT,"Haverty Furniture Companies, Inc.",Consumer Discretionary,0000216085
HWC,Hancock Whitney Corporation,Financials,0000750577
HWKN,"Hawkins, Inc.",Materials,0000046250
HYH,Halyard Health,Health Care,0001648294
HZO,"MarineMax, Inc.",Consumer Discretionary,0001057060
IART,Integra Lifesciences Holdings,Health Care,0000917520
IBKR,Interactive Brokers,Financials,0001381197
IBOC,Intl Bancshares Corp,Financials,0000315709
IBP,"Installed Building Products, Inc.",Consumer Discretionary,0001580905
ICUI,ICU Medical,Health Care,0000883984
IDA,Idacorp Inc.,Utilities,0001057877
IDCC,InterDigital Inc.,Information Technology,0001405495
IDTI,Integrated Device Technology,Information Technology,0000703361
IEX,IDEX Corp,Industrials,0000832101
IIIN,"Insteel Industries, Inc.",Industrials,0000764401
IIVI,II-VI Incorporated,Information Technology,0000820318
ILG,"ILG, Inc.",Consumer Discretionary,0001434620
INDB,Independent Bank Corp.,Financials,0000776901
INGN,"Inogen, Inc.",Health Care,0001294133
INGR,Ingredion Inc,Consumer Staples,0001046257
INN,"Summit Hotel Properties, Inc.",Real Estate,0001497645
INT,World Fuel Services Corp,Energy,0000789460
INTL,INTL FCStone Inc.,Financials,0000913760
INVA,"Innoviva, Inc.",Health Care,0001080014
IOSP,Innospec Inc.,Materials,0001054905
IPAR,"Inter Parfums, Inc.",Consumer Staples,0000822663
IPHS,"Innophos Holdings, Inc.",Materials,0001364099
IRBT,iRobot Corporation,Consumer Discretionary,0001159167
IRDM,Iridium Communications Inc.,Telecommunication Services,0001418819
IRT,"Independence Realty Trust, Inc.",Real Estate,0001466085
ISCA,International Speedway Corporation,Consumer Discretionary,0000051548
ITG,"Investment Technology Group, Inc.",Financials,0000920424
ITGR,Integer Holdings Corporation,Health Care,0001114483
ITRI,"Itron, Inc.",Information Technology,0000780571
ITT,ITT Inc,Industrials,0000216228
IVC,Invacare Corporation,Health Care,0000742112
IVR,Invesco Mortgage Capital Inc.,Real Estate,0001437071
JACK,Jack in the Box Inc.,Consumer Discretionary,0000807882
JBGS,JBG Smith Properties,Real Estate,0001689796
JBL,Jabil Circuit Inc,Information Technology,0000898293
JHG,Janus Henderson,Financials,0001274173
JBLU,JetBlue Airways Corp,Industrials,0001158463
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,0000880117
JBT,John Bean Technologies Corporation,Industrials,0001433660
JCOM,j2 Global Inc.,Information Technology,0001084048
JCP,"J. C. Penney Company, Inc.",Consumer Discretionary,0001166126
JHG,Janus Henderson Group plc,Financials,0001274173
JJSF,J&J Snack Foods Corp.,Consumer Staples,0000785956
JKHY,Jack Henry & Associates Inc,Information Technology,0000779152
JLL,Jones Lang Lasalle Inc,Real Estate,0001037976
JRVR,"James River Group Holdings, Ltd.",Financials,0001620459
JW.A,John Wiley & Sons,Consumer Discretionary,0000107140
KALU,Kaiser Aluminum Corporation,Materials,0000811596
KAMN,Kaman Corporation,Industrials,0000054381
KBH,KB Home,Consumer Discretionary,0000795266
KBR,KBR Inc,Industrials,0001357615
KELYA,Kelly Services Inc,Industrials,0000055135
KEM,KEMET Corporation,Information Technology,0000887730
KEX,Kirby Corporation,Industrials,0000056047
KEYS,Keysight Technologies Inc,Information Technology,0001601046
KFY,Korn/Ferry International,Industrials,0000056679
KIRK,"Kirkland's, Inc.",Consumer Discretionary,0001056285
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,0000056978
KLXI,KLX Inc,Industrials,0001617898
KMPR,Kemper Corporation,Financials,0000860748
KMT,Kennametal Inc,Industrials,0000055242
KN,Knowles Corporation,Information Technology,0001587523
KNX,Knight-Swift,Industrials,0001492691
KOP,Koppers Holdings Inc.,Materials,0001315257
KOPN,Kopin Corporation,Information Technology,0000771266
KRA,Kraton Corporation,Materials,0001321646
KRC,Kilroy Realty Corp,Real Estate,0001025996
KRG,Kite Realty Group Trust,Real Estate,0001286043
KS,KapStone Paper and Packaging Corporation,Materials,0001325281
KWR,Quaker Chemical Corporation,Materials,0000081362
LABL,Multi-Color Corporation,Industrials,0000819220
LAD,"Lithia Motors, Inc.",Consumer Discretionary,0001023128
LAMR,Lamar Advertising Company,Real Estate,0001090425
LANC,Lancaster Colony Corp,Consumer Staples,0000057515
LCI,"Lannett Company, Inc.",Health Care,0000057725
LCII,LCI Industries,Consumer Discretionary,0000763744
LDL,"Lydall, Inc.",Industrials,0000060977
LDOS,Leidos Holdings Inc,Information Technology,0001336920
LECO,Lincoln Electric Holdings Inc,Industrials,0000059527
LFUS,Littelfuse Inc,Information Technology,0000889331
LGIH,"LGI Homes, Inc.",Consumer Discretionary,0001580670
LGND,Ligand Pharmaceuticals Incorporated,Health Care,0000886163
LHCG,"LHC Group, Inc.",Health Care,0001303313
