ticker,security,sector,cik
WY,Weyerhaeuser,Specialized REITs,0000106535
WHR,Whirlpool Corp.,Household Appliances,0000106640
WMB,Williams Cos.,Oil & Gas Storage & Transportation,0000107263
WLTW,Willis Towers Watson,Insurance Brokers,0001140536
WYNN,Wynn Resorts Ltd,Casinos & Gaming,0001174922
XEL,Xcel Energy Inc,Multi-Utilities,0000072903
XRX,Xerox,"Technology Hardware, Storage & Peripherals",0000108772
XLNX,Xilinx,Semiconductors,0000743988
XYL,Xylem Inc.,Industrial Machinery,0001524472
YUM,Yum! Brands Inc,Restaurants,0001041061
ZBRA,Zebra Technologies,Electronic Equipment & Instruments,0000877212
ZBH,Zimmer Biomet Holdings,Health Care Equipment,0001136869
ZION,Zions Bancorp,Regional Banks,0000109380
ZTS,Zoetis,Pharmaceuticals,0001555280
